Genus,Species,Family,Habitat,Length_cm,measurement,Trophic_lvl,Status,Lake,Region
Haplochromis,cinctus,Cichlidae,benthopelagic,8.8,SL,2,endemic,Victoria,east africa
Haplochromis,cinereus,Cichlidae,benthopelagic,8.1,SL,2.6,endemic,Victoria,east africa
Haplochromis,cnester,Cichlidae,benthopelagic,8.1,SL,3.3,endemic,Victoria,east africa
Haplochromis,commutabilis,Cichlidae,benthopelagic,10.4,SL,3.3,endemic,Victoria,east africa
Haplochromis,coprologus,Cichlidae,benthopelagic,7.5,SL,3.3,endemic,Victoria,east africa
Haplochromis,crassilabris,Cichlidae,benthopelagic,15,TL,3.2,endemic,Victoria,east africa
Haplochromis,crocopeplus,Cichlidae,benthopelagic,10.1,SL,3.6,endemic,Victoria,east africa
Haplochromis,cronus,Cichlidae,benthopelagic,13.5,SL,4,native,Victoria,east africa
Haplochromis,cryptodon,Cichlidae,benthopelagic,13,SL,4,endemic,Victoria,east africa
Haplochromis,cryptogramma,Cichlidae,benthopelagic,9.4,SL,3.4,endemic,Victoria,east africa
Haplochromis,cyaneus,Cichlidae,benthopelagic,10.7,SL,2.6,endemic,Victoria,east africa
Haplochromis,decticostoma,Cichlidae,benthopelagic,22.9,SL,4,endemic,Victoria,east africa
Haplochromis,degeni,Cichlidae,demersal,15.4,SL,3.2,endemic,Victoria,east africa
Haplochromis,dentex,Cichlidae,benthopelagic,15.9,SL,4.2,endemic,Victoria,east africa
Haplochromis,dichrourus,Cichlidae,benthopelagic,18.6,SL,4,endemic,Victoria,east africa
Haplochromis,diplotaenia,Cichlidae,benthopelagic,11,SL,4.2,endemic,Victoria,east africa
Haplochromis,dolichorhynchus,Cichlidae,benthopelagic,11.9,SL,3.4,native,Victoria,east africa
Haplochromis,empodisma,Cichlidae,benthopelagic,11.7,SL,2.9,endemic,Victoria,east africa
Haplochromis,erythrocephalus,Cichlidae,benthopelagic,7.7,SL,2.5,native,Victoria,east africa
Haplochromis,erythromaculatus,Cichlidae,benthopelagic,10.3,SL,3.3,endemic,Victoria,east africa
Haplochromis,estor,Cichlidae,benthopelagic,17,SL,4.2,endemic,Victoria,east africa
Haplochromis,eutaenia,Cichlidae,benthopelagic,10.5,TL,3.6,native,Victoria,east africa
Haplochromis,exspectatus,Cichlidae,benthopelagic,8.5,SL,3.3,endemic,Victoria,east africa
Haplochromis,fischeri,Cichlidae,benthopelagic,10.5,SL,3.3,endemic,Victoria,east africa
Haplochromis,flavipinnis,Cichlidae,benthopelagic,15.6,SL,4.2,native,Victoria,east africa
Haplochromis,flavus,Cichlidae,benthopelagic,11.9,SL,2.3,native,Victoria,east africa
Haplochromis,fusiformis,Cichlidae,benthopelagic,11,SL,3.3,native,Victoria,east africa
Haplochromis,gigas,Cichlidae,demersal,14.2,SL,2,native,Victoria,east africa
Haplochromis,gilberti,Cichlidae,benthopelagic,15,SL,4,endemic,Victoria,east africa
Haplochromis,goldschmidti,Cichlidae,pelagic,6.9,SL,3.3,endemic,Victoria,east africa
Haplochromis,gowersii,Cichlidae,benthopelagic,22.4,SL,4.2,native,Victoria,east africa
Haplochromis,granti,Cichlidae,benthopelagic,12.2,SL,3.4,endemic,Victoria,east africa
Haplochromis,greenwoodi,Cichlidae,demersal,13.5,SL,3.2,native,Victoria,east africa
Haplochromis,guiarti,Cichlidae,benthopelagic,17.7,SL,4.2,endemic,Victoria,east africa
Haplochromis,harpakteridion,Cichlidae,benthopelagic,8.1,SL,4.2,endemic,Victoria,east africa
Haplochromis,heusinkveldi,Cichlidae,benthopelagic,7.6,SL,3.4,native,Victoria,east africa
Haplochromis,hiatus,Cichlidae,benthopelagic,11.2,SL,3.2,endemic,Victoria,east africa
Haplochromis,howesi,Cichlidae,benthopelagic,16.3,SL,3.5,endemic,Victoria,east africa
Haplochromis,humilior,Cichlidae,benthopelagic,9,SL,2.6,endemic,Victoria,east africa
Haplochromis,igneopinnis,Cichlidae,demersal,10.8,SL,2,native,Victoria,east africa
Haplochromis,iris,Cichlidae,benthopelagic,11.6,SL,3.2,native,Victoria,east africa
Haplochromis,ishmaeli,Cichlidae,benthopelagic,13.6,SL,3.6,native,Victoria,east africa
Haplochromis,katunzii,Cichlidae,demersal,8,SL,3.3,endemic,Victoria,east africa
Haplochromis,kujunjui,Cichlidae,benthopelagic,10.3,SL,4.2,endemic,Victoria,east africa
Haplochromis,labriformis,Cichlidae,benthopelagic,6.2,SL,3.3,endemic,Victoria,east africa
Haplochromis,lacrimosus,Cichlidae,benthopelagic,9.7,SL,2.8,endemic,Victoria,east africa
Haplochromis,laparogramma,Cichlidae,benthopelagic,8.5,SL,3.3,native,Victoria,east africa
Haplochromis,lividus,Cichlidae,benthopelagic,9,SL,2.4,endemic,Victoria,east africa
Haplochromis,longirostris,Cichlidae,benthopelagic,14.5,SL,3.9,native,Victoria,east africa
Haplochromis,luteus,Cichlidae,demersal,13.3,SL,2.6,native,Victoria,east africa
Haplochromis,macrocephalus,Cichlidae,demersal,10.6,SL,3,native,Victoria,east africa
Haplochromis,macrognathus,Cichlidae,benthopelagic,17.4,SL,4.2,endemic,Victoria,east africa
Haplochromis,macrops,Cichlidae,benthopelagic,9.1,SL,2.8,endemic,Victoria,east africa
Haplochromis,maculipinna,Cichlidae,benthopelagic,16.6,SL,3.9,endemic,Victoria,east africa
Haplochromis,maisomei,Cichlidae,benthopelagic,9.8,SL,4.2,endemic,Victoria,east africa
Haplochromis,mandibularis,Cichlidae,benthopelagic,17.4,SL,4.2,endemic,Victoria,east africa
Haplochromis,martini,Cichlidae,benthopelagic,10.4,SL,3.9,endemic,Victoria,east africa
Haplochromis,maxillaris,Cichlidae,benthopelagic,16,SL,4,endemic,Victoria,east africa
Haplochromis,mbipi,Cichlidae,demersal,13.1,SL,2.6,native,Victoria,east africa
Haplochromis,megalops,Cichlidae,benthopelagic,8.1,SL,3.3,endemic,Victoria,east africa
Haplochromis,melanopterus,Cichlidae,benthopelagic,12.7,SL,4,endemic,Victoria,east africa
Haplochromis,melanopus,Cichlidae,benthopelagic,10,TL,3.3,native,Victoria,east africa
Haplochromis,melichrous,Cichlidae,benthopelagic,10.7,SL,3.4,endemic,Victoria,east africa
Haplochromis,mento,Cichlidae,benthopelagic,17.8,SL,4.2,endemic,Victoria,east africa
Haplochromis,michaeli,Cichlidae,benthopelagic,14.5,SL,4.2,endemic,Victoria,east africa
Haplochromis,microdon,Cichlidae,benthopelagic,14.8,SL,4,endemic,Victoria,east africa
Haplochromis,mylergates,Cichlidae,benthopelagic,13.7,SL,3.4,endemic,Victoria,east africa
Haplochromis,nanoserranus,Cichlidae,benthopelagic,7.6,SL,3.8,endemic,Victoria,east africa
Haplochromis,nigrescens,Cichlidae,benthopelagic,11.5,TL,4.2,endemic,Victoria,east africa
Haplochromis,nigricans,Cichlidae,benthopelagic,9.4,SL,2.2,native,Victoria,east africa
Haplochromis,niloticus,Cichlidae,benthopelagic,10.2,SL,3.3,endemic,Victoria,east africa
Haplochromis,nubilus,Cichlidae,benthopelagic,9.3,SL,3.3,native,Victoria,east africa
Haplochromis,nuchisquamulatus,Cichlidae,benthopelagic,11.3,SL,2,native,Victoria,east africa
Haplochromis,nyanzae,Cichlidae,benthopelagic,17.1,SL,4.2,endemic,Victoria,east africa
Haplochromis,nyererei,Cichlidae,benthopelagic,7.7,SL,2.6,native,Victoria,east africa
Haplochromis,obesus,Cichlidae,benthopelagic,17,SL,4,native,Victoria,east africa
Haplochromis,obliquidens,Cichlidae,benthopelagic,8.9,SL,2,native,Victoria,east africa
Haplochromis,obtusidens,Cichlidae,benthopelagic,11.4,SL,3.1,endemic,Victoria,east africa
Haplochromis,oligolepis,Cichlidae,benthopelagic,8.3,SL,3.3,endemic,Victoria,east africa
Haplochromis,omnicaeruleus,Cichlidae,demersal,11.9,SL,2,native,Victoria,east africa
Haplochromis,pachycephalus,Cichlidae,benthopelagic,23.2,SL,4.2,endemic,Victoria,east africa
Haplochromis,pallidus,Cichlidae,benthopelagic,7.4,SL,2.6,endemic,Victoria,east africa
Haplochromis,pancitrinus,Cichlidae,benthopelagic,8.6,SL,3.3,endemic,Victoria,east africa
Haplochromis,paraguiarti,Cichlidae,benthopelagic,15.6,SL,3.2,endemic,Victoria,east africa
Haplochromis,paraplagiostoma,Cichlidae,benthopelagic,9.8,SL,3.3,endemic,Victoria,east africa
Haplochromis,paropius,Cichlidae,benthopelagic,8.7,SL,2.3,endemic,Victoria,east africa
Haplochromis,parorthostoma,Cichlidae,benthopelagic,11.7,SL,3.4,endemic,Victoria,east africa
Haplochromis,parvidens,Cichlidae,benthopelagic,16.3,SL,4,endemic,Victoria,east africa
Haplochromis,pellegrini,Cichlidae,benthopelagic,10.4,SL,3.5,endemic,Victoria,east africa
Haplochromis,percoides,Cichlidae,benthopelagic,9.3,SL,4.2,endemic,Victoria,east africa
Haplochromis,perrieri,Cichlidae,benthopelagic,6,SL,4.2,endemic,Victoria,east africa
Haplochromis,pharyngomylus,Cichlidae,benthopelagic,12.6,SL,3.2,endemic,Victoria,east africa
Haplochromis,phytophagus,Cichlidae,benthopelagic,8.6,SL,2,endemic,Victoria,east africa
Haplochromis,piceatus,Cichlidae,benthopelagic,9,SL,3.3,endemic,Victoria,east africa
Haplochromis,pitmani,Cichlidae,benthopelagic,5.5,TL,4.2,endemic,Victoria,east africa
Haplochromis,plagiodon,Cichlidae,benthopelagic,8.5,SL,3.2,native,Victoria,east africa
Haplochromis,plagiostoma,Cichlidae,benthopelagic,14.7,SL,4.4,native,Victoria,east africa
Haplochromis,plutonius,Cichlidae,benthopelagic,9.6,SL,3.6,native,Victoria,east africa
Haplochromis,prodromus,Cichlidae,benthopelagic,13,SL,3.4,native,Victoria,east africa
Haplochromis,prognathus,Cichlidae,benthopelagic,14.1,SL,3.1,native,Victoria,east africa
Haplochromis,pseudopellegrini,Cichlidae,benthopelagic,15,SL,4.2,native,Victoria,east africa
Haplochromis,ptistes,Cichlidae,benthopelagic,10.6,SL,3.6,native,Victoria,east africa
Haplochromis,pundamilia,Cichlidae,demersal,12.4,SL,3.7,native,Victoria,east africa
Haplochromis,pyrrhocephalus,Cichlidae,benthopelagic,7.3,SL,3.3,native,Victoria,east africa
Haplochromis,pyrrhopteryx,Cichlidae,benthopelagic,19.7,SL,4.1,endemic,Victoria,east africa
Haplochromis,retrodens,Cichlidae,benthopelagic,14.4,SL,3.3,native,Victoria,east africa
Haplochromis,riponianus,Cichlidae,benthopelagic,10.4,SL,3.2,native,Victoria,east africa
Haplochromis,rubripinnis,Cichlidae,pelagic,10.4,SL,3.3,native,Victoria,east africa
Haplochromis,rufocaudalis,Cichlidae,demersal,10,SL,2,native,Victoria,east africa
Haplochromis,rufus,Cichlidae,demersal,8.6,SL,3.3,native,Victoria,east africa
Haplochromis,sauvagei,Cichlidae,benthopelagic,10.5,SL,2.7,native,Victoria,east africa
Haplochromis,saxicola,Cichlidae,benthopelagic,12.3,SL,3.4,native,Victoria,east africa
Haplochromis,serranus,Cichlidae,benthopelagic,20.5,SL,4.2,native,Victoria,east africa
Haplochromis,simotes,Cichlidae,demersal,8.7,SL,3.3,native,Victoria,east africa
Haplochromis,spekii,Cichlidae,benthopelagic,22,SL,4.2,native,Victoria,east africa
Haplochromis,sphex,Cichlidae,benthopelagic,8.2,SL,3.3,endemic,Victoria,east africa
Haplochromis,squamipinnis,Cichlidae,benthopelagic,20.2,SL,3.2,introduced,Victoria,east africa
Haplochromis,squamulatus,Cichlidae,benthopelagic,19.8,SL,4.2,native,Victoria,east africa
Haplochromis,sulphureus,Cichlidae,benthopelagic,10.9,SL,3.3,native,Victoria,east africa
Haplochromis,tanaos,Cichlidae,benthopelagic,7.7,SL,3.3,endemic,Victoria,east africa
Haplochromis,teegelaari,Cichlidae,benthopelagic,10.1,SL,3.1,native,Victoria,east africa
Haplochromis,teunisrasi,Cichlidae,benthopelagic,9.6,SL,3.3,native,Victoria,east africa
Haplochromis,theliodon,Cichlidae,benthopelagic,9.5,SL,3.2,native,Victoria,east africa
Haplochromis,thereuterion,Cichlidae,benthopelagic,8.2,SL,3.3,endemic,Victoria,east africa
Haplochromis,thuragnathus,Cichlidae,benthopelagic,20,SL,4.2,native,Victoria,east africa
Haplochromis,tridens,Cichlidae,benthopelagic,11.9,SL,2.8,native,Victoria,east africa
Haplochromis,tyrianthinus,Cichlidae,benthopelagic,10.5,SL,3.5,native,Victoria,east africa
Haplochromis,ushindi,Cichlidae,benthopelagic,22.6,SL,3.5,endemic,Victoria,east africa
Haplochromis,vanoijeni,Cichlidae,demersal,8.9,SL,3.3,endemic,Victoria,east africa
Haplochromis,victoriae,Cichlidae,benthopelagic,7.6,SL,3.3,native,Victoria,east africa
Haplochromis,victorianus,Cichlidae,benthopelagic,16.6,SL,4.2,native,Victoria,east africa
Haplochromis,vonlinnei,Cichlidae,demersal,15.9,SL,3.4,native,Victoria,east africa
Haplochromis,welcommei,Cichlidae,benthopelagic,10.5,SL,3.3,native,Victoria,east africa
Haplochromis,xanthopteryx,Cichlidae,demersal,10.7,SL,3.1,native,Victoria,east africa
Haplochromis,xenognathus,Cichlidae,benthopelagic,11.3,SL,2.9,native,Victoria,east africa
Haplochromis,xenostoma,Cichlidae,benthopelagic,20.3,SL,4.2,native,Victoria,east africa
Oreochromis,esculentus,Cichlidae,benthopelagic,50,SL,2.5,native,Victoria,east africa
Oreochromis,leucostictus,Cichlidae,benthopelagic,36.3,SL,2.3,introduced,Victoria,east africa
Oreochromis,niloticus,Cichlidae,benthopelagic,60,SL,2,introduced,Victoria,east africa
Oreochromis,variabilis,Cichlidae,benthopelagic,30,SL,2,native,Victoria,east africa
Sarotherodon,galilaeus,Cichlidae,demersal,39.5,TL,2.8,native,Victoria,east africa
Clariallabes,petricola,Clariidae,demersal,8.5,SL,3.5,native,Victoria,east africa
Clarias,alluaudi,Clariidae,demersal,23,TL,3.2,native,Victoria,east africa
Clarias,gariepinus,Clariidae,benthopelagic,170,TL,3.8,native,Victoria,east africa
Clarias,liocephalus,Clariidae,demersal,32,TL,3.3,native,Victoria,east africa
Clarias,werneri,Clariidae,demersal,23,TL,3.1,native,Victoria,east africa
Xenoclarias,eupogon,Clariidae,demersal,20.9,SL,3.4,endemic,Victoria,east africa
Clypeobarbus,pleuropholis,Cyprinidae,benthopelagic,3.3,SL,3,error,Victoria,east africa
Enteromius,alberti,Cyprinidae,benthopelagic,7.4,SL,3,native,Victoria,east africa
Enteromius,apleurogramma,Cyprinidae,benthopelagic,5.4,SL,2.9,native,Victoria,east africa
Enteromius,jacksoni,Cyprinidae,benthopelagic,11.6,SL,3,native,Victoria,east africa
Enteromius,kerstenii,Cyprinidae,benthopelagic,9,SL,3,native,Victoria,east africa
Enteromius,loveridgii,Cyprinidae,benthopelagic,6.6,SL,3,endemic,Victoria,east africa
Enteromius,magdalenae,Cyprinidae,benthopelagic,6.8,SL,3,endemic,Victoria,east africa
Enteromius,neumayeri,Cyprinidae,benthopelagic,11.8,SL,3,native,Victoria,east africa
Enteromius,nyanzae,Cyprinidae,benthopelagic,7,SL,3,endemic,Victoria,east africa
Enteromius,paludinosus,Cyprinidae,benthopelagic,15,SL,2.9,native,Victoria,east africa
Enteromius,profundus,Cyprinidae,benthopelagic,6.3,SL,3.2,endemic,Victoria,east africa
Enteromius,radiatus,Cyprinidae,benthopelagic,12,SL,2.8,native,Victoria,east africa
Enteromius,serengetiensis,Cyprinidae,pelagic,4,SL,3,endemic,Victoria,east africa
Enteromius,sexradiatus,Cyprinidae,benthopelagic,5.6,SL,3,endemic,Victoria,east africa
Enteromius,trispilopleura,Cyprinidae,benthopelagic,4.5,TL,3,native,Victoria,east africa
Enteromius,viktorianus,Cyprinidae,benthopelagic,7.1,TL,3,endemic,Victoria,east africa
Enteromius,yongei,Cyprinidae,benthopelagic,5.6,SL,2.3,endemic,Victoria,east africa
Garra,dembeensis,Cyprinidae,benthopelagic,11,SL,2,native,Victoria,east africa
Labeo,victorianus,Cyprinidae,benthopelagic,41,SL,2.4,native,Victoria,east africa
Labeo,werneri,Cyprinidae,benthopelagic,31.3,TL,2.3,endemic,Victoria,east africa
Labeobarbus,acuticeps,Cyprinidae,benthopelagic,40.3,TL,3.2,endemic,Victoria,east africa
Labeobarbus,altianalis,Cyprinidae,benthopelagic,90,TL,3.4,native,Victoria,east africa
Labeobarbus,claudinae,Cyprinidae,benthopelagic,30,TL,3.2,endemic,Victoria,east africa
Labeobarbus,microbarbis,Cyprinidae,benthopelagic,27,TL,3.2,extirpated,Victoria,east africa
Labeobarbus,platystomus,Cyprinidae,benthopelagic,21,TL,3.2,endemic,Victoria,east africa
Labeobarbus,ruandae,Cyprinidae,benthopelagic,26.2,SL,3.2,endemic,Victoria,east africa
Labeobarbus,ruasae,Cyprinidae,benthopelagic,49.5,TL,3.2,endemic,Victoria,east africa
Labeobarbus,somereni,Cyprinidae,benthopelagic,40,SL,3.2,native,Victoria,east africa
Xenobarbus,loveridgei,Cyprinidae,benthopelagic,9,SL,2.9,endemic,Victoria,east africa
Rastrineobola,argentea,Danionidae,pelagic,8,TL,3.4,native,Victoria,east africa
Lates,niloticus,Latidae,demersal,200,TL,4.5,introduced,Victoria,east africa
Mastacembelus,frenatus,Mastacembelidae,demersal,40,SL,3.9,native,Victoria,east africa
Chiloglanis,somereni,Mochokidae,benthopelagic,10,SL,3.2,native,Victoria,east africa
Synodontis,afrofischeri,Mochokidae,benthopelagic,17.7,SL,3.4,native,Victoria,east africa
Synodontis,ruandae,Mochokidae,benthopelagic,16.2,TL,2.9,endemic,Victoria,east africa
Synodontis,victoriae,Mochokidae,benthopelagic,35,SL,3.3,native,Victoria,east africa
Cyphomyrus,grahami,Mormyridae,benthopelagic,25,SL,3.2,native,Victoria,east africa
Gnathonemus,longibarbis,Mormyridae,demersal,36,TL,3.2,native,Victoria,east africa
Marcusenius,macrolepidotus,Mormyridae,demersal,32,TL,3.2,questionable,Victoria,east africa
Marcusenius,rheni,Mormyridae,demersal,20.8,TL,3.1,endemic,Victoria,east africa
Marcusenius,victoriae,Mormyridae,demersal,26,TL,3.3,native,Victoria,east africa
Mormyrus,kannume,Mormyridae,demersal,100,SL,3.2,native,Victoria,east africa
Mormyrus,macrocephalus,Mormyridae,demersal,42,TL,3.2,questionable,Victoria,east africa
Petrocephalus,catostoma,Mormyridae,demersal,15,FL,3.4,native,Victoria,east africa
Petrocephalus,degeni,Mormyridae,demersal,8.1,SL,3.2,endemic,Victoria,east africa
Pollimyrus,nigricans,Mormyridae,demersal,10,SL,3.4,native,Victoria,east africa
Nothobranchius,attenboroughi,Nothobranchiidae,benthopelagic,4.4,SL,3.2,endemic,Victoria,east africa
Nothobranchius,derhami,Nothobranchiidae,benthopelagic,3.8,SL,3.2,endemic,Victoria,east africa
Nothobranchius,moameensis,Nothobranchiidae,benthopelagic,4.3,SL,3.2,endemic,Victoria,east africa
Nothobranchius,ottoschmidti,Nothobranchiidae,benthopelagic,5.5,SL,3.2,native,Victoria,east africa
Nothobranchius,robustus,Nothobranchiidae,benthopelagic,5.5,TL,3.2,native,Victoria,east africa
Nothobranchius,sagittae,Nothobranchiidae,pelagic,3.9,SL,3.2,endemic,Victoria,east africa
Nothobranchius,serengetiensis,Nothobranchiidae,pelagic,4.8,SL,3.2,endemic,Victoria,east africa
Nothobranchius,skeltoni,Nothobranchiidae,benthopelagic,5.3,SL,3.2,endemic,Victoria,east africa
Nothobranchius,sonjae,Nothobranchiidae,benthopelagic,4.4,SL,3.2,native,Victoria,east africa
Nothobranchius,taeniopygus,Nothobranchiidae,benthopelagic,3.6,SL,3.2,native,Victoria,east africa
Nothobranchius,ugandensis,Nothobranchiidae,benthopelagic,5,SL,3.2,native,Victoria,east africa
Nothobranchius,venustus,Nothobranchiidae,benthopelagic,3.6,SL,3.2,endemic,Victoria,east africa
Gambusia,holbrooki,Poeciliidae,benthopelagic,8,TL,3.1,introduced,Victoria,east africa
Poecilia,reticulata,Poeciliidae,benthopelagic,6,SL,3.2,introduced,Victoria,east africa
Lacustricola,atripinna,Procatopodidae,benthopelagic,3.8,TL,3,questionable,Victoria,east africa
Lacustricola,bukobanus,Procatopodidae,benthopelagic,5,TL,3,native,Victoria,east africa
Lacustricola,centralis,Procatopodidae,benthopelagic,3.3,TL,3,native,Victoria,east africa
Lacustricola,pumilus,Procatopodidae,benthopelagic,5.5,TL,2.9,misidentification,Victoria,east africa
Lacustricola,vitschumbaensis,Procatopodidae,benthopelagic,5.5,TL,2.9,native,Victoria,east africa
Micropanchax,fuelleborni,Procatopodidae,benthopelagic,3.5,TL,3.1,questionable,Victoria,east africa
Micropanchax,loati,Procatopodidae,benthopelagic,4,TL,3.2,native,Victoria,east africa
Protopterus,aethiopicus,Protopteridae,demersal,200,TL,4.4,native,Victoria,east africa
Schilbe,intermedius,Schilbeidae,pelagic,50,SL,3.6,native,Victoria,east africa
Schilbe,mystus,Schilbeidae,demersal,35,SL,3.5,questionable,Victoria,east africa
