Species,Name,Family,Habitat,Length (cm),Trophic Level,Status,Lake
Labeotropheus aurantinfra,,Cichlidae,benthopelagic,11.5 SL,3.4,endemic,Malawi
Labeotropheus candipygia,,Cichlidae,benthopelagic,9.7 SL,3.3,endemic,Malawi
Labeotropheus chirangali,,Cichlidae,benthopelagic,11.2 SL,3.3,endemic,Malawi
Labeotropheus chlorosiglos,,Cichlidae,benthopelagic,11.6 SL,3.4,endemic,Malawi
Labeotropheus fuelleborni,Blue mbuna,Cichlidae,benthopelagic,30.0 SL,2.8,endemic,Malawi
Labeotropheus obscurus,,Cichlidae,benthopelagic,7.8 SL,3.3,endemic,Malawi
Labeotropheus rubidorsalis,,Cichlidae,benthopelagic,9.1 SL,3.3,endemic,Malawi
Labeotropheus simoneae,,Cichlidae,benthopelagic,11,3.4,endemic,Malawi
Labeotropheus trewavasae,Scrapermouth mbuna,Cichlidae,benthopelagic,11.7 TL,3.3,endemic,Malawi
Labidochromis caeruleus,Blue streak hap,Cichlidae,benthopelagic,8.1 SL,2.6,endemic,Malawi
Labidochromis chisumulae,,Cichlidae,benthopelagic,6.6 SL,2.7,endemic,Malawi
Labidochromis flavigulis,Chisumulu pearl,Cichlidae,benthopelagic,6.8 SL,2.7,endemic,Malawi
Labidochromis freibergi,,Cichlidae,benthopelagic,8.0 TL,2.7,endemic,Malawi
Labidochromis gigas,,Cichlidae,benthopelagic,10.0 SL,2.6,endemic,Malawi
Labidochromis heterodon,,Cichlidae,benthopelagic,7.3 SL,2.7,endemic,Malawi
Labidochromis ianthinus,,Cichlidae,benthopelagic,9.0 TL,2.7,endemic,Malawi
Labidochromis joanjohnsonae,Pearl of Likoma,Cichlidae,demersal,10.0 TL,2.6,endemic,Malawi
Labidochromis lividus,,Cichlidae,benthopelagic,7.1 SL,2.7,endemic,Malawi
Labidochromis maculicauda,,Cichlidae,benthopelagic,6.4 SL,3.3,endemic,Malawi
Labidochromis mathotho,,Cichlidae,benthopelagic,8.0 TL,2.7,endemic,Malawi
Labidochromis mbenjii,,Cichlidae,benthopelagic,6.4 SL,2.7,endemic,Malawi
