Genus,Species,Family,Habitat,Length (cm),measurement,Trophic Level,Status,Lake,Continent
Spathodus,marlieri,Cichlidae,benthopelagic,10,TL,3.3,endemic,Tanganyika,Africa
Tangachromis,dhanisi,Cichlidae,benthopelagic,8.5,TL,3,endemic,Tanganyika,Africa
Tanganicodus,irsacae,Cichlidae,benthopelagic,7,TL,2,endemic,Tanganyika,Africa
Telmatochromis,bifrenatus,Cichlidae,demersal,9,TL,2,endemic,Tanganyika,Africa
Telmatochromis,brachygnathus,Cichlidae,benthopelagic,7.6,SL,2.3,native,Tanganyika,Africa
Telmatochromis,brichardi,Cichlidae,demersal,4.1,SL,2.6,endemic,Tanganyika,Africa
Telmatochromis,dhonti,Cichlidae,benthopelagic,12,TL,3.5,endemic,Tanganyika,Africa
Telmatochromis,temporalis,Cichlidae,demersal,10.2,TL,2.2,endemic,Tanganyika,Africa
Telmatochromis,vittatus,Cichlidae,benthopelagic,8.6,TL,2.3,endemic,Tanganyika,Africa
Trematocara,caparti,Cichlidae,benthopelagic,6.7,TL,3.2,endemic,Tanganyika,Africa
Trematocara,kufferathi,Cichlidae,benthopelagic,6.8,TL,3.2,endemic,Tanganyika,Africa
Trematocara,macrostoma,Cichlidae,benthopelagic,9.5,SL,3.3,endemic,Tanganyika,Africa
Trematocara,marginatum,Cichlidae,benthopelagic,9.8,TL,3.3,endemic,Tanganyika,Africa
Trematocara,nigrifrons,Cichlidae,benthopelagic,11.5,TL,3.3,endemic,Tanganyika,Africa
Trematocara,stigmaticum,Cichlidae,benthopelagic,7.5,TL,3.2,endemic,Tanganyika,Africa
Trematocara,unimaculatum,Cichlidae,benthopelagic,15,TL,3.4,endemic,Tanganyika,Africa
Trematocara,variabile,Cichlidae,benthopelagic,8.7,TL,3.3,endemic,Tanganyika,Africa
Trematocara,zebra,Cichlidae,demersal,6.9,SL,3.3,endemic,Tanganyika,Africa
Trematochromis,benthicola,Cichlidae,benthopelagic,21.5,TL,3.4,endemic,Tanganyika,Africa
Triglachromis,otostigma,Cichlidae,benthopelagic,12,TL,2.7,endemic,Tanganyika,Africa
Tropheus,annectens,Cichlidae,demersal,8,TL,3.3,endemic,Tanganyika,Africa
Tropheus,brichardi,Cichlidae,demersal,10,TL,3.3,endemic,Tanganyika,Africa
Tropheus,duboisi,Cichlidae,demersal,12,TL,3.3,endemic,Tanganyika,Africa
Tropheus,kasabae,Cichlidae,demersal,11.1,TL,3.3,endemic,Tanganyika,Africa
Tropheus,moorii,Cichlidae,benthopelagic,14.5,TL,2,endemic,Tanganyika,Africa
Tropheus,polli,Cichlidae,demersal,16.5,TL,3.4,endemic,Tanganyika,Africa
Tylochromis,polylepis,Cichlidae,demersal,43.5,NG,3,endemic,Tanganyika,Africa
Variabilichromis,moorii,Cichlidae,benthopelagic,10.3,TL,3.3,endemic,Tanganyika,Africa
Xenochromis,hecqui,Cichlidae,benthopelagic,30,TL,4.4,endemic,Tanganyika,Africa
Xenotilapia,albini,Cichlidae,benthopelagic,8.9,TL,3.1,native,Tanganyika,Africa
Xenotilapia,bathyphila,Cichlidae,demersal,10.3,TL,3.3,endemic,Tanganyika,Africa
Xenotilapia,boulengeri,Cichlidae,benthopelagic,15.3,TL,3.3,endemic,Tanganyika,Africa
Xenotilapia,burtoni,Cichlidae,demersal,17.7,TL,3.2,endemic,Tanganyika,Africa
Xenotilapia,caudafasciata,Cichlidae,demersal,15.6,,3,endemic,Tanganyika,Africa
Xenotilapia,flavipinnis,Cichlidae,demersal,9.2,TL,3.5,endemic,Tanganyika,Africa
Xenotilapia,leptura,Cichlidae,demersal,11,TL,2,endemic,Tanganyika,Africa
Xenotilapia,longispinis,Cichlidae,benthopelagic,16.3,TL,3.1,endemic,Tanganyika,Africa
Xenotilapia,melanogenys,Cichlidae,demersal,15,TL,3.2,endemic,Tanganyika,Africa
Xenotilapia,nasus,Cichlidae,demersal,9.3,TL,3.1,endemic,Tanganyika,Africa
Xenotilapia,nigrolabiata,Cichlidae,demersal,13,TL,3.2,endemic,Tanganyika,Africa
Xenotilapia,ochrogenys,Cichlidae,benthopelagic,11,TL,3.2,endemic,Tanganyika,Africa
Xenotilapia,ornatipinnis,Cichlidae,demersal,12.5,TL,3.1,endemic,Tanganyika,Africa
Xenotilapia,papilio,Cichlidae,demersal,7.8,TL,3.1,endemic,Tanganyika,Africa
Xenotilapia,rotundiventralis,Cichlidae,demersal,5.3,SL,3.4,endemic,Tanganyika,Africa
Xenotilapia,sima,Cichlidae,benthopelagic,16.4,TL,3.2,endemic,Tanganyika,Africa
Xenotilapia,spilopterus,Cichlidae,demersal,9.6,TL,3.2,endemic,Tanganyika,Africa
Xenotilapia,tenuidentata,Cichlidae,benthopelagic,8,TL,3.1,endemic,Tanganyika,Africa
Citharinus,gibbosus,Citharinidae,pelagic,61,TL,2.2,native,Tanganyika,Africa
Clarias,alluaudi,Clariidae,demersal,23,TL,3.2,native,Tanganyika,Africa
Clarias,dhonti,Clariidae,demersal,18.5,TL,3.3,native,Tanganyika,Africa
Clarias,gariepinus,Clariidae,benthopelagic,170,TL,3.8,native,Tanganyika,Africa
Clarias,liocephalus,Clariidae,demersal,32,TL,3.3,native,Tanganyika,Africa
Clarias,theodorae,Clariidae,demersal,35,SL,3.5,native,Tanganyika,Africa
Clarias,werneri,Clariidae,demersal,23,TL,3.1,native,Tanganyika,Africa
Dinotopterus,cunningtoni,Clariidae,demersal,175,SL,3.7,endemic,Tanganyika,Africa
Heterobranchus,longifilis,Clariidae,demersal,150,SL,3.7,native,Tanganyika,Africa
