Genus,Species,Family,Habitat,Length (cm),measurement,Trophic Level,Status,Lake
Neolamprologus,cunningtoni,Cichlidae,benthopelagic,29.1,TL,4.2,endemic,Tanganyika
Neolamprologus,cylindricus,Cichlidae,benthopelagic,10.4,TL,3.5,endemic,Tanganyika
Neolamprologus,falcicula,Cichlidae,benthopelagic,8.1,TL,3.5,endemic,Tanganyika
Neolamprologus,fasciatus,Cichlidae,benthopelagic,15,TL,3.8,endemic,Tanganyika
Neolamprologus,furcifer,Cichlidae,benthopelagic,15,TL,3.4,endemic,Tanganyika
Neolamprologus,gracilis,Cichlidae,benthopelagic,9,TL,3.5,endemic,Tanganyika
Neolamprologus,helianthus,Cichlidae,benthopelagic,5.7,SL,3.4,endemic,Tanganyika
Neolamprologus,leleupi,Cichlidae,benthopelagic,10,TL,3.6,endemic,Tanganyika
Neolamprologus,leloupi,Cichlidae,benthopelagic,6.1,TL,3.4,endemic,Tanganyika
Neolamprologus,longicaudatus,Cichlidae,benthopelagic,8.6,SL,3.5,endemic,Tanganyika
Neolamprologus,marunguensis,Cichlidae,benthopelagic,6.7,TL,3.4,endemic,Tanganyika
Neolamprologus,modestus,Cichlidae,benthopelagic,12,TL,3.5,endemic,Tanganyika
Neolamprologus,mondabu,Cichlidae,benthopelagic,10.7,TL,3.4,endemic,Tanganyika
Neolamprologus,multifasciatus,Cichlidae,benthopelagic,4,TL,3.4,endemic,Tanganyika
Neolamprologus,mustax,Cichlidae,benthopelagic,9,TL,3.5,endemic,Tanganyika
Neolamprologus,niger,Cichlidae,benthopelagic,9,TL,3.6,endemic,Tanganyika
Neolamprologus,nigriventris,Cichlidae,benthopelagic,10.3,TL,3.5,endemic,Tanganyika
Neolamprologus,obscurus,Cichlidae,benthopelagic,8.2,TL,3.5,endemic,Tanganyika
Neolamprologus,olivaceous,Cichlidae,benthopelagic,6,TL,3.4,endemic,Tanganyika
Neolamprologus,pectoralis,Cichlidae,benthopelagic,14,TL,3.7,endemic,Tanganyika
Neolamprologus,petricola,Cichlidae,benthopelagic,14,TL,3.2,endemic,Tanganyika
Neolamprologus,pleuromaculatus,Cichlidae,benthopelagic,12,TL,3.6,native,Tanganyika
Neolamprologus,prochilus,Cichlidae,benthopelagic,17,TL,3.7,endemic,Tanganyika
Neolamprologus,pulcher,Cichlidae,benthopelagic,7.2,TL,3.4,endemic,Tanganyika
Neolamprologus,savoryi,Cichlidae,benthopelagic,8,TL,4.2,endemic,Tanganyika
Neolamprologus,schreyeni,Cichlidae,benthopelagic,5,TL,3.3,endemic,Tanganyika
Neolamprologus,sexfasciatus,Cichlidae,benthopelagic,15,TL,3.7,endemic,Tanganyika
Neolamprologus,similis,Cichlidae,benthopelagic,5,TL,3.3,endemic,Tanganyika
Neolamprologus,splendens,Cichlidae,benthopelagic,8,TL,3.5,endemic,Tanganyika
Neolamprologus,tetracanthus,Cichlidae,benthopelagic,20,TL,3.8,endemic,Tanganyika
Neolamprologus,timidus,Cichlidae,benthopelagic,10,SL,3.6,endemic,Tanganyika
Neolamprologus,toae,Cichlidae,benthopelagic,12,TL,3.8,endemic,Tanganyika
Neolamprologus,tretocephalus,Cichlidae,benthopelagic,15,TL,3.4,endemic,Tanganyika
Neolamprologus,ventralis,Cichlidae,benthopelagic,8,TL,3.5,endemic,Tanganyika
Neolamprologus,walteri,Cichlidae,benthopelagic,5.7,SL,3.4,endemic,Tanganyika
Neolamprologus,wauthioni,Cichlidae,benthopelagic,5.5,TL,3.4,endemic,Tanganyika
Ophthalmotilapia,boops,Cichlidae,demersal,15,TL,3.4,native,Tanganyika
Ophthalmotilapia,heterodonta,Cichlidae,demersal,14.4,TL,2.3,native,Tanganyika
