Genus,Species,Family,Habitat,Length (cm),measurement,Trophic Level,Status,Lake,Continent,Fertilization
Cyprichromis,pavo,Cichlidae,demersal,10,SL,3.5,endemic,Tanganyika,Africa,
Cyprichromis,zonatus,Cichlidae,demersal,8.6,SL,3.5,endemic,Tanganyika,Africa,
Cyprinella,spiloptera,Leuciscidae,benthopelagic,12,TL,2.8,native,Great Lakes,North America,
Cyprinus,carpio,Cyprinidae,benthopelagic,120,TL,3.4,introduced,Great Lakes,North America,
Cyrtocara,moorii,Cichlidae,benthopelagic,20,TL,3.4,endemic,Malawi,Africa,in mouth
Dimidiochromis,compressiceps,Cichlidae,benthopelagic,23,TL,4.2,endemic,Malawi,Africa,
Dimidiochromis,dimidiatus,Cichlidae,benthopelagic,20,TL,4,endemic,Malawi,Africa,in mouth
Dimidiochromis,kiwinge,Cichlidae,benthopelagic,30,TL,4.2,native,Malawi,Africa,
Dimidiochromis,strigatus,Cichlidae,benthopelagic,24.4,TL,3.8,native,Malawi,Africa,
Dinotopterus,cunningtoni,Clariidae,demersal,175,SL,3.7,endemic,Tanganyika,Africa,
Diplotaxodon,aeneus,Cichlidae,benthopelagic,14,SL,4,endemic,Malawi,Africa,
Diplotaxodon,altus,Cichlidae,benthopelagic,16.2,SL,4,endemic,Malawi,Africa,
Diplotaxodon,apogon,Cichlidae,benthopelagic,11.7,SL,3.9,endemic,Malawi,Africa,
Diplotaxodon,argenteus,Cichlidae,benthopelagic,20.4,SL,4.2,endemic,Malawi,Africa,
Diplotaxodon,dentatus,Cichlidae,benthopelagic,12,SL,3.9,endemic,Malawi,Africa,
Diplotaxodon,ecclesi,Cichlidae,benthopelagic,14.6,SL,4.2,endemic,Malawi,Africa,
Diplotaxodon,greenwoodi,Cichlidae,benthopelagic,24.7,SL,4.2,endemic,Malawi,Africa,
Diplotaxodon,limnothrissa,Cichlidae,pelagic,15.4,SL,3.1,endemic,Malawi,Africa,
Diplotaxodon,longimaxilla,Cichlidae,benthopelagic,18.1,SL,4.1,endemic,Malawi,Africa,
Diplotaxodon,macrops,Cichlidae,benthopelagic,12.5,SL,2.8,endemic,Malawi,Africa,
Distichodus,fasciolatus,Distichodontidae,pelagic,60,TL,2,questionable,Tanganyika,Africa,
Distichodus,sexfasciatus,Distichodontidae,pelagic,76,SL,2.8,native,Tanganyika,Africa,
Distichodus,nefasch,Distichodontidae,pelagic,83,TL,2,native,Turkana,Africa,
Distichodus,nefasch,Distichodontidae,pelagic,83,TL,2,native,Albert,Africa,
Docimodus,evelynae,Cichlidae,benthopelagic,20.1,SL,3.4,endemic,Malawi,Africa,
Docimodus,johnstoni,Cichlidae,benthopelagic,25,TL,4.2,endemic,Malawi,Africa,
Dorosoma,cepedianum,Dorosomatidae,pelagic-neritic,57,FL,2.4,native,Great Lakes,North America,
Eclectochromis,lobochilus,Cichlidae,benthopelagic,12.5,TL,3.3,endemic,Malawi,Africa,
Eclectochromis,ornatus,Cichlidae,benthopelagic,18.2,SL,3.4,endemic,Malawi,Africa,
Ectodus,descampsii,Cichlidae,benthopelagic,10.4,TL,2.5,endemic,Tanganyika,Africa,
Engraulicypris,spinifer,Danionidae,benthopelagic,5,SL,3,native,Tanganyika,Africa,
Engraulicypris,sardella,Danionidae,demersal,13,TL,2.9,endemic,Malawi,Africa,
Engraulicypris,bredoi,Danionidae,benthopelagic,4.5,TL,3,endemic,Albert,Africa,
Enteromius,apleurogramma,Cyprinidae,benthopelagic,5.4,SL,2.9,native,Tanganyika,Africa,
Enteromius,eutaenia,Cyprinidae,benthopelagic,14,SL,3.2,native,Tanganyika,Africa,
Enteromius,kerstenii,Cyprinidae,benthopelagic,9,SL,3,native,Tanganyika,Africa,
Enteromius,lineomaculatus,Cyprinidae,benthopelagic,8.6,SL,3,native,Tanganyika,Africa,
Enteromius,lufukiensis,Cyprinidae,benthopelagic,11,TL,3,native,Tanganyika,Africa,
Enteromius,miolepis,Cyprinidae,benthopelagic,12.5,SL,3,native,Tanganyika,Africa,
Enteromius,neumayeri,Cyprinidae,benthopelagic,11.8,SL,3,native,Tanganyika,Africa,
Enteromius,oligogrammus,Cyprinidae,benthopelagic,8.2,TL,3,native,Tanganyika,Africa,
Enteromius,pellegrini,Cyprinidae,benthopelagic,11.7,SL,3,native,Tanganyika,Africa,
Enteromius,taeniopleura,Cyprinidae,benthopelagic,9,TL,3,native,Tanganyika,Africa,
Enteromius,urostigma,Cyprinidae,benthopelagic,12,TL,3,native,Tanganyika,Africa,
Enteromius,alberti,Cyprinidae,benthopelagic,7.4,SL,3,native,Victoria,Africa,
Enteromius,apleurogramma,Cyprinidae,benthopelagic,5.4,SL,2.9,native,Victoria,Africa,
Enteromius,jacksoni,Cyprinidae,benthopelagic,11.6,SL,3,native,Victoria,Africa,
Enteromius,kerstenii,Cyprinidae,benthopelagic,9,SL,3,native,Victoria,Africa,
Enteromius,loveridgii,Cyprinidae,benthopelagic,6.6,SL,3,endemic,Victoria,Africa,
Enteromius,magdalenae,Cyprinidae,benthopelagic,6.8,SL,3,endemic,Victoria,Africa,
Enteromius,neumayeri,Cyprinidae,benthopelagic,11.8,SL,3,native,Victoria,Africa,
Enteromius,nyanzae,Cyprinidae,benthopelagic,7,SL,3,endemic,Victoria,Africa,
Enteromius,paludinosus,Cyprinidae,benthopelagic,15,SL,2.9,native,Victoria,Africa,
Enteromius,profundus,Cyprinidae,benthopelagic,6.3,SL,3.2,endemic,Victoria,Africa,
Enteromius,radiatus,Cyprinidae,benthopelagic,12,SL,2.8,native,Victoria,Africa,
Enteromius,serengetiensis,Cyprinidae,pelagic,4,SL,3,endemic,Victoria,Africa,
Enteromius,sexradiatus,Cyprinidae,benthopelagic,5.6,SL,3,endemic,Victoria,Africa,
Enteromius,trispilopleura,Cyprinidae,benthopelagic,4.5,TL,3,native,Victoria,Africa,
Enteromius,viktorianus,Cyprinidae,benthopelagic,7.1,TL,3,endemic,Victoria,Africa,
Enteromius,yongei,Cyprinidae,benthopelagic,5.6,SL,2.3,endemic,Victoria,Africa,
Enteromius,arcislongae,Cyprinidae,benthopelagic,6.4,SL,3,endemic,Malawi,Africa,
Enteromius,atkinsoni,Cyprinidae,benthopelagic,3.2,SL,3,native,Malawi,Africa,
Enteromius,eutaenia,Cyprinidae,benthopelagic,14,SL,3.2,questionable,Malawi,Africa,
Enteromius,innocens,Cyprinidae,benthopelagic,8,TL,2.4,native,Malawi,Africa,
Enteromius,litamba,Cyprinidae,benthopelagic,35,SL,4,endemic,Malawi,Africa,
Enteromius,macrotaenia,Cyprinidae,benthopelagic,4,SL,3,native,Malawi,Africa,
Enteromius,oligogrammus,Cyprinidae,benthopelagic,8.2,TL,3,native,Malawi,Africa,
Enteromius,paludinosus,Cyprinidae,benthopelagic,15,SL,2.9,native,Malawi,Africa,
Enteromius,radiatus,Cyprinidae,benthopelagic,12,SL,2.8,native,Malawi,Africa,
Enteromius,seymouri,Cyprinidae,benthopelagic,10.8,SL,3,endemic,Malawi,Africa,
Enteromius,trimaculatus,Cyprinidae,benthopelagic,15,SL,3.2,native,Malawi,Africa,
Enteromius,apleurogramma,Cyprinidae,benthopelagic,5.4,SL,2.9,native,Kivu,Africa,
Enteromius,kerstenii,Cyprinidae,benthopelagic,9,SL,3,native,Kivu,Africa,
Enteromius,neumayeri,Cyprinidae,benthopelagic,11.8,SL,3,questionable,Kivu,Africa,
Enteromius,pellegrini,Cyprinidae,benthopelagic,11.7,SL,3,native,Kivu,Africa,
Enteromius,neumayeri,Cyprinidae,benthopelagic,11.8,SL,3,native,Turkana,Africa,
Enteromius,paludinosus,Cyprinidae,benthopelagic,15,SL,2.9,native,Turkana,Africa,
Enteromius,stigmatopygus,Cyprinidae,benthopelagic,2.8,SL,3,native,Turkana,Africa,
Enteromius,turkanae,Cyprinidae,pelagic,4.2,SL,3,endemic,Turkana,Africa,
Enteromius,neumayeri,Cyprinidae,benthopelagic,11.8,SL,3,native,Albert,Africa,
Enteromius,alberti,Cyprinidae,benthopelagic,7.4,SL,3,native,Edward,Africa,
Enteromius,apleurogramma,Cyprinidae,benthopelagic,5.4,SL,2.9,native,Edward,Africa,
Enteromius,kerstenii,Cyprinidae,benthopelagic,9,SL,3,native,Edward,Africa,
Enteromius,neumayeri,Cyprinidae,benthopelagic,11.8,SL,3,native,Edward,Africa,
Enteromius,pellegrini,Cyprinidae,benthopelagic,11.7,SL,3,native,Edward,Africa,
Enteromius,perince,Cyprinidae,benthopelagic,8.9,SL,3,misidentification,Edward,Africa,
Eretmodus,cyanostictus,Cichlidae,benthopelagic,9,TL,2.1,endemic,Tanganyika,Africa,
Eretmodus,marksmithi,Cichlidae,pelagic,4.7,SL,3.2,endemic,Tanganyika,Africa,
Erimyzon,claviformis,Catostomidae,demersal,23,TL,3,native,Great Lakes,North America,
Erimyzon,oblongus,Catostomidae,demersal,37.6,TL,3,native,Great Lakes,North America,
Erimyzon,sucetta,Catostomidae,demersal,41,TL,3,native,Great Lakes,North America,
Esox,americanus,Esocidae,demersal,39.4,FL,3.7,native,Great Lakes,North America,
Esox,lucius,Esocidae,pelagic,150,TL,4.1,native,Great Lakes,North America,
Esox,masquinongy,Esocidae,demersal,183,TL,4.5,native,Great Lakes,North America,
Esox,niger,Esocidae,demersal,99,TL,3.3,native,Great Lakes,North America,
Etheostoma,blennioides,Percidae,benthopelagic,17,TL,3.4,native,Great Lakes,North America,
Etheostoma,caeruleum,Percidae,benthopelagic,7.7,TL,3.3,native,Great Lakes,North America,
Etheostoma,exile,Percidae,benthopelagic,7.2,TL,3.5,native,Great Lakes,North America,
Etheostoma,flabellare,Percidae,benthopelagic,8.4,TL,3.2,native,Great Lakes,North America,
Etheostoma,microperca,Percidae,benthopelagic,4.4,TL,3.5,native,Great Lakes,North America,
Etheostoma,nigrum,Percidae,benthopelagic,7.2,TL,3.2,native,Great Lakes,North America,
Etheostoma,spectabile,Percidae,benthopelagic,7.2,TL,3.3,endemic,Great Lakes,North America,
Exochochromis,anagenys,Cichlidae,benthopelagic,20,SL,4.2,endemic,Malawi,Africa,
Fossorochromis,rostratus,Cichlidae,benthopelagic,24.4,TL,3.4,endemic,Malawi,Africa,in mouth
Fundulus,diaphanus,Fundulidae,benthopelagic,13,TL,3.3,native,Great Lakes,North America,
Fundulus,dispar,Fundulidae,benthopelagic,6,TL,3.2,endemic,Great Lakes,North America,
Fundulus,notatus,Fundulidae,benthopelagic,8,TL,3.1,native,Great Lakes,North America,
Gambusia,holbrooki,Poeciliidae,benthopelagic,8,TL,3.1,introduced,Victoria,Africa,
Garra,dembeensis,Cyprinidae,benthopelagic,11,SL,2,native,Victoria,Africa,
Garra,chebera,Cyprinidae,benthopelagic,7.5,SL,2.2,endemic,Turkana,Africa,
Garra,dembeensis,Cyprinidae,benthopelagic,11,SL,2,native,Turkana,Africa,
Garra,makiensis,Cyprinidae,benthopelagic,13.5,SL,2,native,Turkana,Africa,
Genyochromis,mento,Cichlidae,benthopelagic,12.6,TL,4.4,endemic,Malawi,Africa,
Gephyrochromis,lawsi,Cichlidae,benthopelagic,12.8,TL,3.3,endemic,Malawi,Africa,
Gephyrochromis,moorii,Cichlidae,benthopelagic,12,TL,3.3,endemic,Malawi,Africa,
Gnathochromis,permaxillaris,Cichlidae,benthopelagic,15,TL,3.4,endemic,Tanganyika,Africa,
Gnathonemus,longibarbis,Mormyridae,demersal,36,TL,3.2,native,Tanganyika,Africa,
Gnathonemus,petersii,Mormyridae,demersal,35,SL,3.1,native,Tanganyika,Africa,
Gnathonemus,longibarbis,Mormyridae,demersal,36,TL,3.2,native,Victoria,Africa,external
Gnathonemus,petersii,Mormyridae,demersal,35,SL,3.1,error,Kivu,Africa,
Grammatotria,lemairii,Cichlidae,benthopelagic,26,TL,2.7,native,Tanganyika,Africa,
Greenwoodochromis,abeelei,Cichlidae,demersal,23.5,TL,3.5,endemic,Tanganyika,Africa,
Greenwoodochromis,christyi,Cichlidae,benthopelagic,15,TL,3.4,endemic,Tanganyika,Africa,
Greenwoodochromis,staneri,Cichlidae,demersal,19,TL,3.4,endemic,Tanganyika,Africa,
Gymnarchus,niloticus,Gymnarchidae,demersal,167,SL,3.7,native,Turkana,Africa,
Gymnocephalus,cernua,Percidae,benthopelagic,25,TL,3.3,introduced,Great Lakes,North America,
Haplochromis,acidens,Cichlidae,benthopelagic,12.8,SL,3,endemic,Victoria,Africa,
Haplochromis,aelocephalus,Cichlidae,benthopelagic,12,SL,3.3,endemic,Victoria,Africa,
Haplochromis,altigenis,Cichlidae,benthopelagic,20.2,SL,4.2,endemic,Victoria,Africa,
Haplochromis,ampullarostratus,Cichlidae,benthopelagic,7.2,SL,3.3,endemic,Victoria,Africa,
Haplochromis,antleter,Cichlidae,demersal,7,SL,3.3,endemic,Victoria,Africa,
Haplochromis,apogonoides,Cichlidae,benthopelagic,13.2,SL,3.4,native,Victoria,Africa,
Haplochromis,arcanus,Cichlidae,benthopelagic,14.2,SL,4.2,endemic,Victoria,Africa,
Haplochromis,argens,Cichlidae,pelagic,7.6,SL,3.3,endemic,Victoria,Africa,
Haplochromis,argenteus,Cichlidae,benthopelagic,20.2,SL,3.6,native,Victoria,Africa,
Haplochromis,artaxerxes,Cichlidae,benthopelagic,14.7,SL,3.6,endemic,Victoria,Africa,
Haplochromis,azureus,Cichlidae,demersal,9.6,SL,3.4,native,Victoria,Africa,
Haplochromis,barbarae,Cichlidae,benthopelagic,10.6,SL,4,native,Victoria,Africa,
Haplochromis,bareli,Cichlidae,benthopelagic,12.5,SL,4.2,endemic,Victoria,Africa,
Haplochromis,bartoni,Cichlidae,benthopelagic,19.5,SL,4.2,endemic,Victoria,Africa,
Haplochromis,bayoni,Cichlidae,benthopelagic,15.4,SL,4.2,endemic,Victoria,Africa,
Haplochromis,bicolor,Cichlidae,demersal,15,SL,3.6,endemic,Victoria,Africa,
Haplochromis,boops,Cichlidae,benthopelagic,19.4,SL,4.2,endemic,Victoria,Africa,
Haplochromis,brownae,Cichlidae,benthopelagic,10.4,SL,3.9,endemic,Victoria,Africa,
Haplochromis,bwathondii,Cichlidae,pelagic,8.2,SL,3.3,endemic,Victoria,Africa,
Haplochromis,cassius,Cichlidae,benthopelagic,9.8,SL,3.4,endemic,Victoria,Africa,
Haplochromis,cavifrons,Cichlidae,benthopelagic,19.5,SL,4.2,endemic,Victoria,Africa,
Haplochromis,chilotes,Cichlidae,benthopelagic,14.8,SL,3.2,native,Victoria,Africa,
Haplochromis,chlorochrous,Cichlidae,benthopelagic,12,SL,3.6,endemic,Victoria,Africa,
Haplochromis,chromogynos,Cichlidae,benthopelagic,11,SL,3.2,endemic,Victoria,Africa,
Haplochromis,chrysogynaion,Cichlidae,benthopelagic,9.1,SL,4.2,endemic,Victoria,Africa,
Haplochromis,cinctus,Cichlidae,benthopelagic,8.8,SL,2,endemic,Victoria,Africa,
Haplochromis,cinereus,Cichlidae,benthopelagic,8.1,SL,2.6,endemic,Victoria,Africa,
Haplochromis,cnester,Cichlidae,benthopelagic,8.1,SL,3.3,endemic,Victoria,Africa,
Haplochromis,commutabilis,Cichlidae,benthopelagic,10.4,SL,3.3,endemic,Victoria,Africa,
Haplochromis,coprologus,Cichlidae,benthopelagic,7.5,SL,3.3,endemic,Victoria,Africa,
Haplochromis,crassilabris,Cichlidae,benthopelagic,15,TL,3.2,endemic,Victoria,Africa,
Haplochromis,crocopeplus,Cichlidae,benthopelagic,10.1,SL,3.6,endemic,Victoria,Africa,
Haplochromis,cronus,Cichlidae,benthopelagic,13.5,SL,4,native,Victoria,Africa,
Haplochromis,cryptodon,Cichlidae,benthopelagic,13,SL,4,endemic,Victoria,Africa,
Haplochromis,cryptogramma,Cichlidae,benthopelagic,9.4,SL,3.4,endemic,Victoria,Africa,
Haplochromis,cyaneus,Cichlidae,benthopelagic,10.7,SL,2.6,endemic,Victoria,Africa,
Haplochromis,decticostoma,Cichlidae,benthopelagic,22.9,SL,4,endemic,Victoria,Africa,
Haplochromis,degeni,Cichlidae,demersal,15.4,SL,3.2,endemic,Victoria,Africa,
Haplochromis,dentex,Cichlidae,benthopelagic,15.9,SL,4.2,endemic,Victoria,Africa,
Haplochromis,dichrourus,Cichlidae,benthopelagic,18.6,SL,4,endemic,Victoria,Africa,
Haplochromis,diplotaenia,Cichlidae,benthopelagic,11,SL,4.2,endemic,Victoria,Africa,
Haplochromis,dolichorhynchus,Cichlidae,benthopelagic,11.9,SL,3.4,native,Victoria,Africa,
Haplochromis,empodisma,Cichlidae,benthopelagic,11.7,SL,2.9,endemic,Victoria,Africa,
Haplochromis,erythrocephalus,Cichlidae,benthopelagic,7.7,SL,2.5,native,Victoria,Africa,
Haplochromis,erythromaculatus,Cichlidae,benthopelagic,10.3,SL,3.3,endemic,Victoria,Africa,
Haplochromis,estor,Cichlidae,benthopelagic,17,SL,4.2,endemic,Victoria,Africa,
Haplochromis,eutaenia,Cichlidae,benthopelagic,10.5,TL,3.6,native,Victoria,Africa,
Haplochromis,exspectatus,Cichlidae,benthopelagic,8.5,SL,3.3,endemic,Victoria,Africa,
Haplochromis,fischeri,Cichlidae,benthopelagic,10.5,SL,3.3,endemic,Victoria,Africa,
Haplochromis,flavipinnis,Cichlidae,benthopelagic,15.6,SL,4.2,native,Victoria,Africa,
Haplochromis,flavus,Cichlidae,benthopelagic,11.9,SL,2.3,native,Victoria,Africa,
Haplochromis,fusiformis,Cichlidae,benthopelagic,11,SL,3.3,native,Victoria,Africa,
Haplochromis,gigas,Cichlidae,demersal,14.2,SL,2,native,Victoria,Africa,
Haplochromis,gilberti,Cichlidae,benthopelagic,15,SL,4,endemic,Victoria,Africa,
Haplochromis,goldschmidti,Cichlidae,pelagic,6.9,SL,3.3,endemic,Victoria,Africa,
Haplochromis,gowersii,Cichlidae,benthopelagic,22.4,SL,4.2,native,Victoria,Africa,
Haplochromis,granti,Cichlidae,benthopelagic,12.2,SL,3.4,endemic,Victoria,Africa,
Haplochromis,greenwoodi,Cichlidae,demersal,13.5,SL,3.2,native,Victoria,Africa,
Haplochromis,guiarti,Cichlidae,benthopelagic,17.7,SL,4.2,endemic,Victoria,Africa,
Haplochromis,harpakteridion,Cichlidae,benthopelagic,8.1,SL,4.2,endemic,Victoria,Africa,
Haplochromis,heusinkveldi,Cichlidae,benthopelagic,7.6,SL,3.4,native,Victoria,Africa,
Haplochromis,hiatus,Cichlidae,benthopelagic,11.2,SL,3.2,endemic,Victoria,Africa,
Haplochromis,howesi,Cichlidae,benthopelagic,16.3,SL,3.5,endemic,Victoria,Africa,
Haplochromis,humilior,Cichlidae,benthopelagic,9,SL,2.6,endemic,Victoria,Africa,
Haplochromis,igneopinnis,Cichlidae,demersal,10.8,SL,2,native,Victoria,Africa,
Haplochromis,iris,Cichlidae,benthopelagic,11.6,SL,3.2,native,Victoria,Africa,
Haplochromis,ishmaeli,Cichlidae,benthopelagic,13.6,SL,3.6,native,Victoria,Africa,
Haplochromis,katunzii,Cichlidae,demersal,8,SL,3.3,endemic,Victoria,Africa,
Haplochromis,kujunjui,Cichlidae,benthopelagic,10.3,SL,4.2,endemic,Victoria,Africa,
Haplochromis,labriformis,Cichlidae,benthopelagic,6.2,SL,3.3,endemic,Victoria,Africa,
Haplochromis,lacrimosus,Cichlidae,benthopelagic,9.7,SL,2.8,endemic,Victoria,Africa,
Haplochromis,laparogramma,Cichlidae,benthopelagic,8.5,SL,3.3,native,Victoria,Africa,
Haplochromis,lividus,Cichlidae,benthopelagic,9,SL,2.4,endemic,Victoria,Africa,
Haplochromis,longirostris,Cichlidae,benthopelagic,14.5,SL,3.9,native,Victoria,Africa,
Haplochromis,luteus,Cichlidae,demersal,13.3,SL,2.6,native,Victoria,Africa,
Haplochromis,macrocephalus,Cichlidae,demersal,10.6,SL,3,native,Victoria,Africa,
Haplochromis,macrognathus,Cichlidae,benthopelagic,17.4,SL,4.2,endemic,Victoria,Africa,
Haplochromis,macrops,Cichlidae,benthopelagic,9.1,SL,2.8,endemic,Victoria,Africa,
Haplochromis,maculipinna,Cichlidae,benthopelagic,16.6,SL,3.9,endemic,Victoria,Africa,
Haplochromis,maisomei,Cichlidae,benthopelagic,9.8,SL,4.2,endemic,Victoria,Africa,
Haplochromis,mandibularis,Cichlidae,benthopelagic,17.4,SL,4.2,endemic,Victoria,Africa,
Haplochromis,martini,Cichlidae,benthopelagic,10.4,SL,3.9,endemic,Victoria,Africa,
Haplochromis,maxillaris,Cichlidae,benthopelagic,16,SL,4,endemic,Victoria,Africa,
Haplochromis,mbipi,Cichlidae,demersal,13.1,SL,2.6,native,Victoria,Africa,
Haplochromis,megalops,Cichlidae,benthopelagic,8.1,SL,3.3,endemic,Victoria,Africa,
Haplochromis,melanopterus,Cichlidae,benthopelagic,12.7,SL,4,endemic,Victoria,Africa,
Haplochromis,melanopus,Cichlidae,benthopelagic,10,TL,3.3,native,Victoria,Africa,
Haplochromis,melichrous,Cichlidae,benthopelagic,10.7,SL,3.4,endemic,Victoria,Africa,
Haplochromis,mento,Cichlidae,benthopelagic,17.8,SL,4.2,endemic,Victoria,Africa,
Haplochromis,michaeli,Cichlidae,benthopelagic,14.5,SL,4.2,endemic,Victoria,Africa,
Haplochromis,microdon,Cichlidae,benthopelagic,14.8,SL,4,endemic,Victoria,Africa,
Haplochromis,mylergates,Cichlidae,benthopelagic,13.7,SL,3.4,endemic,Victoria,Africa,
Haplochromis,nanoserranus,Cichlidae,benthopelagic,7.6,SL,3.8,endemic,Victoria,Africa,
Haplochromis,nigrescens,Cichlidae,benthopelagic,11.5,TL,4.2,endemic,Victoria,Africa,
Haplochromis,nigricans,Cichlidae,benthopelagic,9.4,SL,2.2,native,Victoria,Africa,
Haplochromis,niloticus,Cichlidae,benthopelagic,10.2,SL,3.3,endemic,Victoria,Africa,
Haplochromis,nubilus,Cichlidae,benthopelagic,9.3,SL,3.3,native,Victoria,Africa,
Haplochromis,nuchisquamulatus,Cichlidae,benthopelagic,11.3,SL,2,native,Victoria,Africa,
Haplochromis,nyanzae,Cichlidae,benthopelagic,17.1,SL,4.2,endemic,Victoria,Africa,
Haplochromis,nyererei,Cichlidae,benthopelagic,7.7,SL,2.6,native,Victoria,Africa,
Haplochromis,obesus,Cichlidae,benthopelagic,17,SL,4,native,Victoria,Africa,
Haplochromis,obliquidens,Cichlidae,benthopelagic,8.9,SL,2,native,Victoria,Africa,
Haplochromis,obtusidens,Cichlidae,benthopelagic,11.4,SL,3.1,endemic,Victoria,Africa,
Haplochromis,oligolepis,Cichlidae,benthopelagic,8.3,SL,3.3,endemic,Victoria,Africa,
Haplochromis,omnicaeruleus,Cichlidae,demersal,11.9,SL,2,native,Victoria,Africa,
Haplochromis,pachycephalus,Cichlidae,benthopelagic,23.2,SL,4.2,endemic,Victoria,Africa,
Haplochromis,pallidus,Cichlidae,benthopelagic,7.4,SL,2.6,endemic,Victoria,Africa,
Haplochromis,pancitrinus,Cichlidae,benthopelagic,8.6,SL,3.3,endemic,Victoria,Africa,
Haplochromis,paraguiarti,Cichlidae,benthopelagic,15.6,SL,3.2,endemic,Victoria,Africa,
Haplochromis,paraplagiostoma,Cichlidae,benthopelagic,9.8,SL,3.3,endemic,Victoria,Africa,
Haplochromis,paropius,Cichlidae,benthopelagic,8.7,SL,2.3,endemic,Victoria,Africa,
Haplochromis,parorthostoma,Cichlidae,benthopelagic,11.7,SL,3.4,endemic,Victoria,Africa,
Haplochromis,parvidens,Cichlidae,benthopelagic,16.3,SL,4,endemic,Victoria,Africa,
Haplochromis,pellegrini,Cichlidae,benthopelagic,10.4,SL,3.5,endemic,Victoria,Africa,
Haplochromis,percoides,Cichlidae,benthopelagic,9.3,SL,4.2,endemic,Victoria,Africa,
Haplochromis,perrieri,Cichlidae,benthopelagic,6,SL,4.2,endemic,Victoria,Africa,
Haplochromis,pharyngomylus,Cichlidae,benthopelagic,12.6,SL,3.2,endemic,Victoria,Africa,
Haplochromis,phytophagus,Cichlidae,benthopelagic,8.6,SL,2,endemic,Victoria,Africa,
Haplochromis,piceatus,Cichlidae,benthopelagic,9,SL,3.3,endemic,Victoria,Africa,
Haplochromis,pitmani,Cichlidae,benthopelagic,5.5,TL,4.2,endemic,Victoria,Africa,
Haplochromis,plagiodon,Cichlidae,benthopelagic,8.5,SL,3.2,native,Victoria,Africa,
Haplochromis,plagiostoma,Cichlidae,benthopelagic,14.7,SL,4.4,native,Victoria,Africa,
Haplochromis,plutonius,Cichlidae,benthopelagic,9.6,SL,3.6,native,Victoria,Africa,
Haplochromis,prodromus,Cichlidae,benthopelagic,13,SL,3.4,native,Victoria,Africa,
Haplochromis,prognathus,Cichlidae,benthopelagic,14.1,SL,3.1,native,Victoria,Africa,
Haplochromis,pseudopellegrini,Cichlidae,benthopelagic,15,SL,4.2,native,Victoria,Africa,
Haplochromis,ptistes,Cichlidae,benthopelagic,10.6,SL,3.6,native,Victoria,Africa,
Haplochromis,pundamilia,Cichlidae,demersal,12.4,SL,3.7,native,Victoria,Africa,
Haplochromis,pyrrhocephalus,Cichlidae,benthopelagic,7.3,SL,3.3,native,Victoria,Africa,
Haplochromis,pyrrhopteryx,Cichlidae,benthopelagic,19.7,SL,4.1,endemic,Victoria,Africa,
Haplochromis,retrodens,Cichlidae,benthopelagic,14.4,SL,3.3,native,Victoria,Africa,
Haplochromis,riponianus,Cichlidae,benthopelagic,10.4,SL,3.2,native,Victoria,Africa,
Haplochromis,rubripinnis,Cichlidae,pelagic,10.4,SL,3.3,native,Victoria,Africa,
Haplochromis,rufocaudalis,Cichlidae,demersal,10,SL,2,native,Victoria,Africa,
Haplochromis,rufus,Cichlidae,demersal,8.6,SL,3.3,native,Victoria,Africa,
Haplochromis,sauvagei,Cichlidae,benthopelagic,10.5,SL,2.7,native,Victoria,Africa,
Haplochromis,saxicola,Cichlidae,benthopelagic,12.3,SL,3.4,native,Victoria,Africa,
Haplochromis,serranus,Cichlidae,benthopelagic,20.5,SL,4.2,native,Victoria,Africa,
Haplochromis,simotes,Cichlidae,demersal,8.7,SL,3.3,native,Victoria,Africa,
Haplochromis,spekii,Cichlidae,benthopelagic,22,SL,4.2,native,Victoria,Africa,
Haplochromis,sphex,Cichlidae,benthopelagic,8.2,SL,3.3,endemic,Victoria,Africa,
Haplochromis,squamipinnis,Cichlidae,benthopelagic,20.2,SL,3.2,introduced,Victoria,Africa,
Haplochromis,squamulatus,Cichlidae,benthopelagic,19.8,SL,4.2,native,Victoria,Africa,
Haplochromis,sulphureus,Cichlidae,benthopelagic,10.9,SL,3.3,native,Victoria,Africa,
Haplochromis,tanaos,Cichlidae,benthopelagic,7.7,SL,3.3,endemic,Victoria,Africa,
Haplochromis,teegelaari,Cichlidae,benthopelagic,10.1,SL,3.1,native,Victoria,Africa,
Haplochromis,teunisrasi,Cichlidae,benthopelagic,9.6,SL,3.3,native,Victoria,Africa,
Haplochromis,theliodon,Cichlidae,benthopelagic,9.5,SL,3.2,native,Victoria,Africa,
Haplochromis,thereuterion,Cichlidae,benthopelagic,8.2,SL,3.3,endemic,Victoria,Africa,
Haplochromis,thuragnathus,Cichlidae,benthopelagic,20,SL,4.2,native,Victoria,Africa,
Haplochromis,tridens,Cichlidae,benthopelagic,11.9,SL,2.8,native,Victoria,Africa,
Haplochromis,tyrianthinus,Cichlidae,benthopelagic,10.5,SL,3.5,native,Victoria,Africa,
Haplochromis,ushindi,Cichlidae,benthopelagic,22.6,SL,3.5,endemic,Victoria,Africa,
Haplochromis,vanoijeni,Cichlidae,demersal,8.9,SL,3.3,endemic,Victoria,Africa,
Haplochromis,victoriae,Cichlidae,benthopelagic,7.6,SL,3.3,native,Victoria,Africa,
Haplochromis,victorianus,Cichlidae,benthopelagic,16.6,SL,4.2,native,Victoria,Africa,
