Genus,Species,Family,Habitat,Length (cm),measurement,Trophic Level,Status,Lake,Continent,Fertilization
Bathybagrus,grandis,Claroteidae,demersal,63,TL,4.5,native,Tanganyika,Africa,
Bathybagrus,graueri,Claroteidae,demersal,36,TL,4.3,endemic,Tanganyika,Africa,
Bathybagrus,platycephalus,Claroteidae,demersal,22,TL,3.8,native,Tanganyika,Africa,
Bathybagrus,sianenna,Claroteidae,demersal,23,SL,3.7,native,Tanganyika,Africa,
Bathybagrus,stappersii,Claroteidae,demersal,45,SL,3.3,native,Tanganyika,Africa,
Bathybagrus,tetranema,Claroteidae,demersal,17,SL,3.8,native,Tanganyika,Africa,
Bathybates,fasciatus,Cichlidae,pelagic,39.7,TL,4.2,endemic,Tanganyika,Africa,
Bathybates,ferox,Cichlidae,pelagic,38.5,TL,4.2,endemic,Tanganyika,Africa,
Bathybates,graueri,Cichlidae,pelagic,30,TL,4.2,endemic,Tanganyika,Africa,
Bathybates,hornii,Cichlidae,pelagic,27.2,TL,4.2,endemic,Tanganyika,Africa,
Bathybates,leo,Cichlidae,pelagic,26,TL,4.2,endemic,Tanganyika,Africa,
Bathybates,minor,Cichlidae,pelagic,20.5,TL,4.2,endemic,Tanganyika,Africa,
Bathybates,vittatus,Cichlidae,pelagic,42,TL,4.2,endemic,Tanganyika,Africa,
Bathyclarias,atribranchus,Clariidae,demersal,60,TL,3.1,endemic,Malawi,Africa,
Bathyclarias,euryodon,Clariidae,demersal,105,TL,3.9,endemic,Malawi,Africa,
Bathyclarias,filicibarbis,Clariidae,demersal,79.2,TL,4.1,endemic,Malawi,Africa,
Bathyclarias,foveolatus,Clariidae,demersal,75,SL,3.8,endemic,Malawi,Africa,
Bathyclarias,longibarbis,Clariidae,demersal,76,TL,3.8,endemic,Malawi,Africa,external
Bathyclarias,nyasensis,Clariidae,benthopelagic,100,SL,3.7,endemic,Malawi,Africa,
Bathyclarias,rotundifrons,Clariidae,demersal,68.1,TL,3.8,endemic,Malawi,Africa,
Bathyclarias,worthingtoni,Clariidae,demersal,80,SL,4,endemic,Malawi,Africa,
Benthochromis,horii,Cichlidae,benthopelagic,15.1,SL,3.5,endemic,Tanganyika,Africa,
Benthochromis,melanoides,Cichlidae,pelagic,18.2,TL,3.5,endemic,Tanganyika,Africa,
Benthochromis,tricoti,Cichlidae,benthopelagic,16.5,TL,3.5,endemic,Tanganyika,Africa,
Boulengerochromis,microlepis,Cichlidae,pelagic,80,TL,4.5,endemic,Tanganyika,Africa,external
Brachypetersius,cadwaladeri,Alestidae,pelagic,4.3,TL,3,questionable,Tanganyika,Africa,
Brycinus,grandisquamis,Alestidae,pelagic,26,SL,3.2,native,Tanganyika,Africa,
Brycinus,imberi,Alestidae,demersal,19.8,TL,3.3,native,Tanganyika,Africa,
